ROAD ACCESS,FACING,FLOOR,PARKING,BEDROOM,BATHROOM,FURNISH STATUS,Price,Location,LAND AREA,BUILT YEAR,BUILTUP AREA,Living ,Kitchen
13 Feet,East,2.5,2 Cars  & 3 Bikes,6,5,Semi-Furnished,Rs. 4.5Cr,"Ganesh Chowk, Kathmandu",,,,1,
26 Feet,North,2.5,3 Cars  & 5 Bikes,6,5,Semi-Furnished,Rs. 13Cr,"Pasikot, Kathmandu",,,,1,1
16 Feet,,2.5,4 Cars  & 9 Bikes,4,5,Semi-Furnished,Rs. 15Cr,"Pasikot, Kathmandu",,,,1,
13 Feet,East,3,1 Car  & 2 Bikes,5,4,Semi-Furnished,Rs. 2.9Cr,"Ochu Height, Lalitpur",3.1 aana,2025 AD,,,1
13 Feet,,2,1 Car  & 2 Bikes,5,4,Semi-Furnished,Rs. 2.5Cr,"Imadol, Lalitpur",,2024 AD,,2,
13 Feet,South-East,2.5,1 Car  & 2 Bikes,5,3,Semi-Furnished,Rs. 2.95Cr,"Ochu Height, Lalitpur",3.2 aana,2024 AD,,,
4 Meter,,2.5,1 Car  & 3 Bikes,4,5,Semi-Furnished,Rs. 3.98Cr,"Budhanilkantha, Kathmandu",4.3 aana,,,,2
16 Feet,North-West,2.5,2 Cars  & 3 Bikes,7,6,Semi-Furnished,Rs. 5.75Cr,"Bhangal , Kathmandu",,2080 BS,,,
20 Feet,East,2.5,1 Car  & 2 Bikes,5,4,Full-Furnished,Rs. 4.5Cr,"Tikathali, Lalitpur",5.2 aana,2023 AD,1710 Sq. Ft.,,2
12 Feet,East,1,2 Bikes,2,1,,Price on call,"Siran Bazar, Dhading",,2014 BS,,1,2
20 Feet,West,5,5 Bikes,9,9,Un-Furnished,Price on call,"Chhetrapati, Kathmandu",,2025 AD,,,2
13 Feet,East,3,1 Car  & 4 Bikes,7,5,Full-Furnished,Rs. 3.75Cr,"Bhaisepati, Lalitpur",,2081 BS,,1,2
13 Feet,East,3.5,1 Car  & 4 Bikes,8,5,Full-Furnished,Rs. 3.2Cr,"Bhaisepati, Lalitpur",,2081 BS,,1,
13 Feet,East,2.5,1 Car  & 4 Bikes,6,4,Full-Furnished,Rs. 3.1Cr,"Bhaisepati, Lalitpur",,2081 BS,,1,
16 Feet,East,2.5,1 Car  & 1 Bike,4,3,Semi-Furnished,Rs. 2.1Cr,"Lubhu, Lalitpur",3.1 aana,2024 AD,1026 Sq. Ft.,1,
13 Feet,West,2.5,1 Car  & 1 Bike,5,4,Semi-Furnished,Rs. 2.6Cr,"Shital Height, Lalitpur",,2024 AD,940.5 Sq. Ft.,,
13 Feet,South-West,2.5,3 Cars  & 5 Bikes,5,5,Semi-Furnished,Rs. 7Cr,"Chapali, Kathmandu",,,,2,
13 Feet,East,2.5,2 Cars  & 4 Bikes,7,5,Un-Furnished,Rs. 5.25Cr,"Chapali, Kathmandu",,,,1,
13 Feet,North,3.5,1 Car  & 2 Bikes,6,4,Semi-Furnished,Rs. 2.5Cr,"Kapan, Kathmandu",,2080 BS,,2,
13 Feet,South,2.5,1 Car  & 2 Bikes,6,5,Semi-Furnished,Rs. 2.65Cr,"Kapan, Kathmandu",,2079 BS,,2,
13 Feet,East,2.5,1 Car  & 2 Bikes,5,2,Un-Furnished,Rs. 2.4Cr,"Changathali, Lalitpur",3.2 aana,2024 AD,1128.6 Sq. Ft.,,
20 Feet,South-East,2,9 Cars  & 9 Bikes,6,4,Full-Furnished,Rs. 19Cr,"Nagarjun, Kathmandu",,2000 AD,,2,2
10 Feet,North,2.5,2 Cars  & 4 Bikes,6,3,Semi-Furnished,Rs. 6Cr,"Basundhara, Kathmandu",,,,2,2
13 Feet,South-East,3,1 Car  & 1 Bike,6,4,Semi-Furnished,Rs. 3.25Cr,"Sitapakha, Lalitpur",4.1 aana,2024 AD,1197 Sq. Ft.,1,1
13 Feet,South-West,2.5,3 Cars  & 5 Bikes,6,6,Full-Furnished,Rs. 7Cr,"Maharajgunj, Kathmandu",6.2 aana,2079 BS,,,1
13 Feet,South,3,1 Car  & 1 Bike,6,4,Semi-Furnished,Rs. 2.6Cr,"Tikathali, Lalitpur",3.1 aana,2024 AD,1026 Sq. Ft.,2,2
16 Feet,North,2.5,2 Cars  & 1 Bike,4,5,Semi-Furnished,Rs. 3Cr,"Chyasundole, Kathmandu",,2079 BS,1200 Sq. Ft.,2,1
15 Feet,South-East,3.5,1 Car  & 1 Bike,6,5,Semi-Furnished,Rs. 2.8Cr,"Tikathali, Lalitpur",4.2 aana,2024 AD,1368 Sq. Ft.,2,2
13 Feet,South-East,3.5,1 Car  & 1 Bike,4,3,Full-Furnished,Rs. 4.5Cr,"Shital Height, Lalitpur",,2024 AD,1282 Sq. Ft.,,
13 Feet,East,3,1 Car  & 1 Bike,5,4,Full-Furnished,Rs. 5.25Cr,"Shital Height, Lalitpur",,2024 AD,1624.5 Sq. Ft.,1,
13 Feet,East,3,1 Car  & 1 Bike,5,4,Full-Furnished,Rs. 4.25Cr,"Imadol, Lalitpur",3.2 aana,2024 AD,1026 Sq. Ft.,,2
13 Feet,South-East,3,1 Car  & 1 Bike,6,4,Full-Furnished,Rs. 5.2Cr,"Imadol, Lalitpur",5.2 aana,2024 AD,1710 Sq. Ft.,,2
20 Feet,South-East,2.5,5 Cars  & 4 Bikes,4,5,Semi-Furnished,Rs. 9Cr,"Jorpati, Kathmandu",,,,1,1
13 Feet,South,2.5,2 Cars  & 3 Bikes,6,6,Semi-Furnished,Rs. 4.5Cr,"Kapan, Kathmandu",,2081 BS,1369 Sq. Ft.,1,2
13 Feet,South,2.5,2 Cars  & 2 Bikes,6,6,Semi-Furnished,Rs. 4.6Cr,"Hepali Height, Kathmandu",4.2 aana,2081 BS,1283.44 Sq. Ft.,2,1
20 Feet,East,2.5,2 Cars,6,5,,Rs. 4.75Cr,"Pasikot, Kathmandu",,2081 BS,,2,1
12 Feet,East,2,1 Car  & 4 Bikes,5,3,Full-Furnished,Rs. 2.5Cr,"Nakhipot, Lalitpur",3.2 aana,2081 BS,,1,
20 Feet,East,3,2 Cars  & 4 Bikes,8,5,Full-Furnished,Rs. 4.5Cr,"Bhaisepati, Lalitpur",,2081 BS,,,
16 Feet,West,2.5,1 Car  & 4 Bikes,5,3,Full-Furnished,Rs. 3Cr,"Bhaisepati, Lalitpur",3.2 aana,2081 BS,,,2
16 Feet,East,2,1 Car  & 4 Bikes,5,3,Full-Furnished,Rs. 2.9Cr,"Bhaisepati, Lalitpur",3.2 aana,2081 BS,,2,1
18 Feet,South-East,2,1 Car  & 4 Bikes,5,3,Full-Furnished,Rs. 4.5Cr,"Bhaisepati, Lalitpur",,2081 BS,,1,2
13 Feet,South,3,1 Car  & 2 Bikes,6,4,Un-Furnished,Rs. 2.2Cr,"Gongabu, Kathmandu",,,1200 Sq. Ft.,,2
